id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT1,BESTEFFORT,COMPLETED,m4-1,0.029,"{'m1-1': 2.563, 'm2-1': 1.776, 'm3-1': 4.472, 'm4-1': 0.638}",0.9570000000000001,0.029,0.667,inf,5.029,5.029
1,TT3,BESTEFFORT,COMPLETED,m4-1,0.577,"{'m1-1': 1.952, 'm2-1': 1.472, 'm3-1': 5.454, 'm4-1': 0.802}",1.203,0.667,1.469,inf,5.777,5.777
2,TT2,BESTEFFORT,COMPLETED,m4-1,1.064,"{'m1-1': 2.022, 'm2-1': 1.656, 'm3-1': 4.742, 'm4-1': 0.914}",1.371,1.469,2.383,inf,6.164,6.164
3,TT2,BESTEFFORT,COMPLETED,m4-1,1.212,"{'m1-1': 2.438, 'm2-1': 1.746, 'm3-1': 4.712, 'm4-1': 0.878}",1.317,2.383,3.261,inf,6.311999999999999,6.311999999999999
4,TT4,BESTEFFORT,COMPLETED,m4-1,1.271,"{'m1-1': 1.884, 'm2-1': 1.707, 'm3-1': 4.781, 'm4-1': 0.845}",1.2675,3.261,4.106,inf,6.271,6.271
5,TT4,BESTEFFORT,COMPLETED,m4-1,1.915,"{'m1-1': 2.235, 'm2-1': 1.513, 'm3-1': 5.062, 'm4-1': 0.843}",1.2645,4.106,4.949,inf,6.915,6.915
6,TT2,BESTEFFORT,COMPLETED,m1-1,2.169,"{'m1-1': 2.268, 'm2-1': 1.961, 'm3-1': 3.63, 'm4-1': 0.724}",3.6288,2.169,4.436999999999999,inf,7.269,7.269
7,TT1,BESTEFFORT,COMPLETED,m2-1,2.197,"{'m1-1': 2.486, 'm2-1': 1.702, 'm3-1': 4.683, 'm4-1': 0.674}",5.106,2.197,3.899,inf,7.197,7.197
8,TT4,BESTEFFORT,COMPLETED,m1-1,2.358,"{'m1-1': 1.744, 'm2-1': 1.852, 'm3-1': 3.925, 'm4-1': 1.05}",2.7904,4.436999999999999,6.180999999999999,inf,7.3580000000000005,7.3580000000000005
9,TT4,BESTEFFORT,COMPLETED,m4-1,3.523,"{'m1-1': 2.011, 'm2-1': 1.366, 'm3-1': 3.912, 'm4-1': 0.898}",1.347,4.949,5.8469999999999995,inf,8.523,8.523
10,TT2,BESTEFFORT,COMPLETED,m4-1,3.578,"{'m1-1': 2.447, 'm2-1': 1.878, 'm3-1': 4.771, 'm4-1': 0.987}",1.4805,5.8469999999999995,6.834,inf,8.677999999999999,8.677999999999999
11,TT4,BESTEFFORT,COMPLETED,m2-1,3.677,"{'m1-1': 1.83, 'm2-1': 1.584, 'm3-1': 4.709, 'm4-1': 1.065}",4.752000000000001,3.899,5.4830000000000005,inf,8.677,8.677
12,TT3,BESTEFFORT,COMPLETED,m1-1,3.989,"{'m1-1': 1.874, 'm2-1': 1.335, 'm3-1': 4.528, 'm4-1': 0.877}",2.9984,6.180999999999999,8.055,inf,9.189,9.189
