id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT2,BESTEFFORT,COMPLETED,m4-1,0.221,"{'m1-1': 2.208, 'm2-1': 1.689, 'm3-1': 3.774, 'm4-1': 0.961}",1.4415,0.221,1.182,inf,5.321,5.321
1,TT2,BESTEFFORT,COMPLETED,m2-1,0.371,"{'m1-1': 2.438, 'm2-1': 1.91, 'm3-1': 4.9, 'm4-1': 0.91}",5.7299999999999995,0.371,2.2809999999999997,inf,5.471,5.471
2,TT1,BESTEFFORT,COMPLETED,m4-1,0.438,"{'m1-1': 2.006, 'm2-1': 1.631, 'm3-1': 4.54, 'm4-1': 0.863}",1.2945,1.182,2.045,inf,5.438,5.438
3,TT2,BESTEFFORT,COMPLETED,m4-1,0.443,"{'m1-1': 2.028, 'm2-1': 1.556, 'm3-1': 3.793, 'm4-1': 0.9}",1.35,2.045,2.945,inf,5.542999999999999,5.542999999999999
4,TT4,BESTEFFORT,COMPLETED,m1-1,0.68,"{'m1-1': 2.419, 'm2-1': 1.825, 'm3-1': 3.94, 'm4-1': 1.032}",3.8704,0.68,3.099,inf,5.68,5.68
5,TT1,BESTEFFORT,COMPLETED,m4-1,0.848,"{'m1-1': 2.048, 'm2-1': 1.793, 'm3-1': 4.677, 'm4-1': 0.829}",1.2435,2.945,3.774,inf,5.848,5.848
6,TT4,BESTEFFORT,COMPLETED,m2-1,1.021,"{'m1-1': 2.244, 'm2-1': 1.57, 'm3-1': 3.746, 'm4-1': 1.014}",4.71,2.2809999999999997,3.851,inf,6.021,6.021
7,TT3,BESTEFFORT,COMPLETED,m4-1,1.224,"{'m1-1': 2.358, 'm2-1': 1.618, 'm3-1': 5.629, 'm4-1': 0.967}",1.4505,3.774,4.741,inf,6.424,6.424
8,TT2,BESTEFFORT,COMPLETED,m2-1,1.264,"{'m1-1': 2.516, 'm2-1': 2.109, 'm3-1': 4.472, 'm4-1': 0.85}",6.327,3.851,5.96,inf,6.364,6.364
9,TT1,BESTEFFORT,COMPLETED,m1-1,1.276,"{'m1-1': 2.279, 'm2-1': 1.652, 'm3-1': 4.471, 'm4-1': 0.768}",3.6464,3.099,5.378,inf,6.276,6.276
10,TT3,BESTEFFORT,MISSED,m3-1,1.559,"{'m1-1': 1.844, 'm2-1': 1.429, 'm3-1': 5.904, 'm4-1': 0.993}",9.360000000000001,1.559,inf,6.759,6.759,6.759
11,TT2,BESTEFFORT,MISSED,m2-1,1.752,"{'m1-1': 2.285, 'm2-1': 1.677, 'm3-1': 4.963, 'm4-1': 0.951}",2.6759999999999984,5.96,inf,6.851999999999999,6.851999999999999,6.851999999999999
12,TT3,BESTEFFORT,MISSED,m1-1,1.771,"{'m1-1': 2.313, 'm2-1': 1.474, 'm3-1': 5.126, 'm4-1': 0.841}",2.5488,5.378,inf,6.971,6.971,6.971
13,TT4,BESTEFFORT,MISSED,m1-1,1.835,"{'m1-1': 2.393, 'm2-1': 1.883, 'm3-1': 4.746, 'm4-1': 0.973}",0.0,6.971,inf,6.971,6.835,6.835
14,TT3,BESTEFFORT,MISSED,m3-1,1.838,"{'m1-1': 2.095, 'm2-1': 1.75, 'm3-1': 5.647, 'm4-1': 0.947}",0.5021999999999999,6.759,inf,7.038,7.038,7.038
15,TT3,BESTEFFORT,MISSED,m3-1,1.839,"{'m1-1': 2.03, 'm2-1': 1.576, 'm3-1': 5.397, 'm4-1': 0.859}",0.0017999999999990025,7.038,inf,7.039,7.039,7.039
16,TT1,BESTEFFORT,COMPLETED,m4-1,2.36,"{'m1-1': 2.525, 'm2-1': 1.896, 'm3-1': 4.067, 'm4-1': 0.815}",1.2225,4.741,5.555999999999999,inf,7.359999999999999,7.359999999999999
17,TT1,BESTEFFORT,COMPLETED,m4-1,3.163,"{'m1-1': 2.559, 'm2-1': 1.786, 'm3-1': 5.095, 'm4-1': 0.668}",1.002,5.555999999999999,6.223999999999999,inf,8.163,8.163
18,TT3,BESTEFFORT,COMPLETED,m2-1,3.36,"{'m1-1': 2.395, 'm2-1': 1.425, 'm3-1': 4.864, 'm4-1': 0.718}",4.275,6.851999999999999,8.277,inf,8.56,8.56
19,TT1,BESTEFFORT,MISSED,m1-1,3.523,"{'m1-1': 2.479, 'm2-1': 1.815, 'm3-1': 4.611, 'm4-1': 0.816}",2.4831999999999996,6.971,inf,8.523,8.523,8.523
20,TT1,BESTEFFORT,MISSED,m3-1,3.597,"{'m1-1': 2.507, 'm2-1': 1.806, 'm3-1': 4.242, 'm4-1': 0.827}",2.8044,7.039,inf,8.597,8.597,8.597
