id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT4,BESTEFFORT,COMPLETED,m4-1,0.148,"{'m1-1': 1.905, 'm2-1': 1.358, 'm3-1': 5.139, 'm4-1': 0.785}",1.1775,0.148,0.933,inf,5.148,5.148
1,TT2,BESTEFFORT,COMPLETED,m2-1,0.188,"{'m1-1': 2.428, 'm2-1': 1.605, 'm3-1': 4.26, 'm4-1': 0.981}",4.8149999999999995,0.188,1.793,inf,5.287999999999999,5.287999999999999
2,TT3,BESTEFFORT,COMPLETED,m4-1,1.184,"{'m1-1': 1.786, 'm2-1': 1.458, 'm3-1': 4.672, 'm4-1': 0.885}",1.3275000000000001,1.184,2.069,inf,6.384,6.384
3,TT4,BESTEFFORT,COMPLETED,m4-1,1.471,"{'m1-1': 2.271, 'm2-1': 1.807, 'm3-1': 4.089, 'm4-1': 1.006}",1.509,2.069,3.075,inf,6.471,6.471
4,TT3,BESTEFFORT,COMPLETED,m2-1,1.579,"{'m1-1': 1.805, 'm2-1': 1.741, 'm3-1': 5.166, 'm4-1': 0.888}",5.223000000000001,1.793,3.534,inf,6.779,6.779
5,TT1,BESTEFFORT,COMPLETED,m1-1,1.695,"{'m1-1': 2.454, 'm2-1': 1.782, 'm3-1': 4.775, 'm4-1': 0.633}",3.9264000000000006,1.695,4.149,inf,6.695,6.695
6,TT4,BESTEFFORT,COMPLETED,m4-1,2.007,"{'m1-1': 2.129, 'm2-1': 1.685, 'm3-1': 4.03, 'm4-1': 1.039}",1.5585,3.075,4.114,inf,7.007,7.007
7,TT1,BESTEFFORT,COMPLETED,m4-1,2.018,"{'m1-1': 2.334, 'm2-1': 1.524, 'm3-1': 5.009, 'm4-1': 0.84}",1.26,4.114,4.954,inf,7.018,7.018
8,TT4,BESTEFFORT,COMPLETED,m2-1,2.074,"{'m1-1': 2.157, 'm2-1': 1.716, 'm3-1': 4.935, 'm4-1': 0.925}",5.148,3.534,5.25,inf,7.074,7.074
9,TT3,BESTEFFORT,COMPLETED,m4-1,2.113,"{'m1-1': 1.862, 'm2-1': 1.79, 'm3-1': 5.092, 'm4-1': 0.911}",1.3665,4.954,5.865,inf,7.313000000000001,7.313000000000001
10,TT3,BESTEFFORT,COMPLETED,m1-1,2.608,"{'m1-1': 2.369, 'm2-1': 1.351, 'm3-1': 5.332, 'm4-1': 0.788}",3.7904000000000004,4.149,6.518000000000001,inf,7.808,7.808
11,TT3,BESTEFFORT,COMPLETED,m2-1,3.027,"{'m1-1': 1.765, 'm2-1': 1.351, 'm3-1': 4.442, 'm4-1': 0.905}",4.053,5.25,6.601,inf,8.227,8.227
12,TT3,BESTEFFORT,COMPLETED,m4-1,3.372,"{'m1-1': 1.979, 'm2-1': 1.516, 'm3-1': 4.764, 'm4-1': 0.814}",1.2209999999999999,5.865,6.679,inf,8.572,8.572
13,TT2,BESTEFFORT,COMPLETED,m4-1,4.151,"{'m1-1': 2.041, 'm2-1': 2.035, 'm3-1': 4.983, 'm4-1': 1.015}",1.5225,6.679,7.694,inf,9.251,9.251
14,TT3,BESTEFFORT,COMPLETED,m1-1,4.179,"{'m1-1': 2.13, 'm2-1': 1.595, 'm3-1': 5.816, 'm4-1': 0.72}",3.408,6.518000000000001,8.648,inf,9.379000000000001,9.379000000000001
15,TT3,BESTEFFORT,COMPLETED,m2-1,4.347,"{'m1-1': 1.887, 'm2-1': 1.484, 'm3-1': 4.37, 'm4-1': 0.842}",4.452,6.601,8.085,inf,9.547,9.547
16,TT3,BESTEFFORT,COMPLETED,m2-1,4.529,"{'m1-1': 1.784, 'm2-1': 1.351, 'm3-1': 5.647, 'm4-1': 0.968}",4.053,8.085,9.436,inf,9.729,9.729
17,TT2,BESTEFFORT,COMPLETED,m3-1,4.728,"{'m1-1': 1.984, 'm2-1': 1.688, 'm3-1': 4.801, 'm4-1': 0.829}",8.6418,4.728,9.529,inf,9.828,9.828
18,TT3,BESTEFFORT,COMPLETED,m4-1,5.205,"{'m1-1': 2.383, 'm2-1': 1.293, 'm3-1': 5.058, 'm4-1': 0.957}",1.4355,7.694,8.651,inf,10.405000000000001,10.405000000000001
19,TT4,BESTEFFORT,MISSED,m1-1,5.486,"{'m1-1': 2.43, 'm2-1': 1.865, 'm3-1': 4.189, 'm4-1': 0.817}",2.9408000000000016,8.648,inf,10.486,10.486,10.486
20,TT3,BESTEFFORT,MISSED,m2-1,5.491,"{'m1-1': 2.39, 'm2-1': 1.332, 'm3-1': 4.862, 'm4-1': 0.765}",3.764999999999997,9.436,inf,10.690999999999999,10.690999999999999,10.690999999999999
21,TT4,BESTEFFORT,COMPLETED,m4-1,6.148,"{'m1-1': 2.227, 'm2-1': 1.885, 'm3-1': 3.989, 'm4-1': 1.013}",1.5194999999999999,8.651,9.664,inf,11.148,11.148
22,TT1,BESTEFFORT,MISSED,m1-1,6.17,"{'m1-1': 2.104, 'm2-1': 1.735, 'm3-1': 4.658, 'm4-1': 0.719}",1.094399999999999,10.486,inf,11.17,11.17,11.17
23,TT1,BESTEFFORT,MISSED,m3-1,6.458,"{'m1-1': 2.571, 'm2-1': 1.811, 'm3-1': 3.652, 'm4-1': 0.764}",3.4722000000000004,9.529,inf,11.458,11.458,11.458
24,TT3,BESTEFFORT,MISSED,m2-1,6.624,"{'m1-1': 1.736, 'm2-1': 1.33, 'm3-1': 4.577, 'm4-1': 0.949}",3.3990000000000027,10.690999999999999,inf,11.824,11.824,11.824
25,TT1,BESTEFFORT,COMPLETED,m4-1,7.108,"{'m1-1': 2.469, 'm2-1': 1.642, 'm3-1': 3.913, 'm4-1': 0.739}",1.1085,9.664,10.403,inf,12.108,12.108
26,TT2,BESTEFFORT,MISSED,m1-1,7.113,"{'m1-1': 2.121, 'm2-1': 1.951, 'm3-1': 5.035, 'm4-1': 0.908}",1.6688000000000018,11.17,inf,12.213000000000001,12.213000000000001,12.213000000000001
27,TT3,BESTEFFORT,MISSED,m3-1,7.268,"{'m1-1': 2.281, 'm2-1': 1.698, 'm3-1': 5.003, 'm4-1': 0.888}",1.8179999999999996,11.458,inf,12.468,12.468,12.468
28,TT2,BESTEFFORT,MISSED,m3-1,7.539,"{'m1-1': 2.298, 'm2-1': 1.854, 'm3-1': 5.037, 'm4-1': 0.845}",0.3077999999999989,12.468,inf,12.639,12.639,12.639
29,TT3,BESTEFFORT,COMPLETED,m4-1,7.763,"{'m1-1': 2.416, 'm2-1': 1.275, 'm3-1': 4.982, 'm4-1': 0.728}",1.092,10.403,11.131,inf,12.963000000000001,12.963000000000001
30,TT3,BESTEFFORT,COMPLETED,m4-1,7.942,"{'m1-1': 1.934, 'm2-1': 1.572, 'm3-1': 5.713, 'm4-1': 0.869}",1.3035,11.131,12.0,inf,13.142,13.142
31,TT1,BESTEFFORT,MISSED,m2-1,7.959,"{'m1-1': 1.943, 'm2-1': 1.647, 'm3-1': 3.902, 'm4-1': 0.672}",3.4049999999999994,11.824,inf,12.959,12.959,12.959
32,TT1,BESTEFFORT,MISSED,m1-1,8.039,"{'m1-1': 2.348, 'm2-1': 1.89, 'm3-1': 4.925, 'm4-1': 0.843}",1.321599999999998,12.213000000000001,inf,13.039,13.039,13.039
33,TT2,BESTEFFORT,MISSED,m2-1,8.212,"{'m1-1': 2.587, 'm2-1': 2.045, 'm3-1': 4.365, 'm4-1': 0.952}",1.0589999999999993,12.959,inf,13.312,13.312,13.312
34,TT3,BESTEFFORT,COMPLETED,m4-1,8.595,"{'m1-1': 2.221, 'm2-1': 1.501, 'm3-1': 5.115, 'm4-1': 0.825}",1.2374999999999998,12.0,12.825,inf,13.795000000000002,13.795000000000002
35,TT3,BESTEFFORT,MISSED,m3-1,8.622,"{'m1-1': 2.209, 'm2-1': 1.55, 'm3-1': 5.896, 'm4-1': 0.985}",2.1294,12.639,inf,13.822,13.822,13.822
36,TT3,BESTEFFORT,MISSED,m3-1,8.69,"{'m1-1': 2.423, 'm2-1': 1.406, 'm3-1': 5.528, 'm4-1': 0.98}",0.1224000000000025,13.822,inf,13.89,13.89,13.89
37,TT1,BESTEFFORT,MISSED,m1-1,8.776,"{'m1-1': 2.541, 'm2-1': 1.822, 'm3-1': 4.498, 'm4-1': 0.723}",0.0,14.82,inf,14.82,13.776,13.776
38,TT2,BESTEFFORT,COMPLETED,m4-1,8.88,"{'m1-1': 2.411, 'm2-1': 1.878, 'm3-1': 4.465, 'm4-1': 0.797}",1.1955,12.825,13.622,inf,13.98,13.98
39,TT2,BESTEFFORT,MISSED,m2-1,8.885,"{'m1-1': 2.098, 'm2-1': 1.619, 'm3-1': 4.964, 'm4-1': 0.885}",2.019,13.312,inf,13.985,13.985,13.985
40,TT2,BESTEFFORT,MISSED,m3-1,8.977,"{'m1-1': 2.007, 'm2-1': 1.585, 'm3-1': 4.885, 'm4-1': 0.964}",0.3365999999999989,13.89,inf,14.077,14.077,14.077
