BQ-2,BQ-1,CPU – Pending,CPU - Running,CPU – PL,GPU - Pending,GPU – Running,GPU-PL,,BQ1-CPU,BQ1-GPU,BQ1-Defer,BQ2-CPU,BQ2-GPU,BQ2-Defer,,
,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,,1,0,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,,1,1,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,,1,2,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,,1,3,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,1,1,0,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,1,1,1,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,1,1,2,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,1,1,3,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,2,1,0,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,2,1,1,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,2,1,2,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,2,1,3,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,,2,0,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,,2,1,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,,2,2,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,,2,3,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,1,2,0,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,1,2,1,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,1,2,2,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,1,2,3,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,2,2,0,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,2,2,1,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,2,2,2,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,,,2,2,3,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,,1,0,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,,1,1,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,,1,2,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,,1,3,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,1,1,0,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,1,1,1,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,1,1,2,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,1,1,3,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,2,1,0,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,2,1,1,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,2,1,2,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,2,1,3,,0.00,0.00,0.00,0.00,0.00,0.00,,
,,,1,0,,2,0,,0.00,0.00,0.00,0.00,0.00,0.00,,
